Surburb,postcode,country,population
Attwood,3049,England,45
Aspendale Gardens,3195,England,229
Aspendale Gardens,3195,India,212
Aspendale Gardens,3195,China,148
Aspendale,3195,England,336
Aspendale,3195,New Zealand,95
Aspendale,3195,South Africa,52
Ashwood,3147,China,598
Ashwood,3147,India,170
Ashwood,3147,England,151
Ashburton,3147,China,393
Ashburton,3147,England,224
Ashburton,3147,India,163
Ascot Vale,3032,Vietnam,415
Ascot Vale,3032,England,331
Ascot Vale,3032,Italy,326
Arthurs Seat,3936,England,19
Arthurs Seat,3936,South Africa,6
Arthurs Seat,3936,Philippines,6
Armadale,3143,England,303
Armadale,3143,India,275
Armadale,3143,China,194
Ardeer,3022,Vietnam,253
Ardeer,3022,India,108
Ardeer,3022,Malta,84
Altona North,3025,Italy,517
Altona North,3025,Lebanon,505
Altona North,3025,Vietnam,415
Altona Meadows,3028,India,794
Altona Meadows,3028,England,505
Altona Meadows,3028,Malta,469
Altona,3018,England,514
Altona,3018,New Zealand,243
Altona,3018,Malta,229
Alphington,3078,England,177
Alphington,3078,China,106
Alphington,3078,Italy,80
Albion,3020,India,420
Albion,3020,Vietnam,281
Albion,3020,Sri Lanka,172
Albert Park,3206,England,332
Albert Park,3206,Greece,252
Albert Park,3206,New Zealand,154
Albanvale,3021,Vietnam,699
Albanvale,3021,Philippines,180
Albanvale,3021,Malta,159
Airport West,3042,Italy,541
Airport West,3042,India,198
Airport West,3042,England,115
Aberfeldie,3040,Italy,93
Aberfeldie,3040,England,85
Aberfeldie,3040,India,50
Abbotsford,3067,Vietnam,373
Abbotsford,3067,England,308
Abbotsford,3067,New Zealand,294
